Year,Interest
1995,-0.01075515851885167
1996,-0.011304240664678389
1997,-0.011853322810505107
1998,-0.012402404956331603
1999,-0.02385147038894153
2000,-0.026800080450522956
2008,-0.02132176898405369
2009,-0.0032345234195872985
2011,-0.02045470250846515
2012,-0.02150537634408589
2013,-0.013351900393185012
2014,-0.005605619811253959
2015,-0.0016867813361209905
2016,-0.004537457171960302
2019,-0.018624329393291728
2022,-0.08901155635286506
2023,-0.03692119643370717
2024,-0.0036814034616934332
