DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2002,288489.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2003,286378.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2004,288541.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2005,295285.0,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2006,297590.1,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2007,300599.3,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2008,327722.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2009,347317.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2010,364352.5,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2011,389535.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2012,404898.4,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2013,414629.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2014,431863.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2015,439193.1,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2016,453193.4,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2017,455075.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2018,460209.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2019,468384.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2020,516438.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2021,550278.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2022,580297.5,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2023,617112.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Belgium,2024,644397.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,1995,10549.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,1996,8769.4,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,1997,9309.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,1998,9021.4,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,1999,9708.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2000,10177.1,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2001,10269.8,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2002,8890.3,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2003,8126.5,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2004,7526.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2005,6388.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2006,5721.0,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2007,5296.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2008,4848.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2009,5112.5,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2010,5857.0,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2011,6285.0,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2012,7005.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2013,7147.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2014,11619.3,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2015,11871.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2016,14188.1,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2017,13182.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2018,12427.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2019,12311.1,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2020,15131.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2021,17015.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2022,19355.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2023,21675.3,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Bulgaria,2024,24977.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,1995,3731.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,1996,4044.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,1997,4633.4,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,1998,5141.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,1999,5583.0,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2000,6103.4,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2001,6745.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2002,7431.2,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2003,8280.9,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2004,9160.3,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2005,9697.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2006,9716.5,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2007,9750.1,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2008,8954.6,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2009,10765.3,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2010,11692.7,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2011,13877.4,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2012,16444.5,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2013,19533.1,,
ESTAT:GOV_10DD_EDPT1(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Cyprus,2014,19839.9,,
